,Headline,Body text
0,Timeline Of Presidential Polling,"As the 2020 presidential race heats up, attention has turned to presidential polling and the wisdom of relying on an industry that generally predicted the wrong outcome in 2016. The Onion takes a look at the history of presidential polling. 1935: George Gallup founds American Institute of Public Opinion in attempt to quench his endless thirst for juicy voter gossip. 1936: Someone is calling on the telephone! Imagine that, Stanley, a call on the telephone! And they want to know who we think should be our president!  1940: Polls confirm what everyone knew intuitively: Wendell Willkie sucks. 1948: Pollsters' methods questioned after they failed to predict there would be an election that year. 1960: Kennedy consistently polls ahead of Nixon when voters asked who they could see being assassinated as president. 1988: Sarah Summers of Des Moines, IA correctly observes that ignoring endless months of polling makes life happier. 1992: Third-party candidate Ross Perot creates challenges for pollsters because three is more than two. 2000: Polls don't take into account that Supreme Court can just pick whoever they want. 2016: Margin of error wins again."
1,Self-Loathing GOP Congressman Can't Believe He's Been Reduced To Defending Necessity Of Public Schools,"WASHINGTON'As the nation falls deeper into the grip of a pandemic that has forced compromises upon his most cherished principles, a self-loathing Sen. Lamar Alexander (R-TN) acknowledged Friday he could not believe he had been reduced to defending the necessity of public schools in a civil society. 'I hear these words coming out of my mouth, these requests for more federal dollars so public schools can reopen, and I wonder, 'My God, what have I become?'' said Alexander, who wondered aloud whether he might still be able to console himself by diverting money from lunch programs and using it to build more charter schools. 'I can barely recognize myself anymore, this man who goes on television and talks about how a return to normalcy in American life depends upon increasing funds to public schools and ensuring they have everything they need to succeed. Ugh, how has it come to this? Has the half century I've spent in politics been a complete waste?' At press time, Alexander had reportedly cheered himself up by thinking about all the public school teachers and staff whose health would be threatened by reopening too soon."
2,Nancy Pelosi Calls Jamaal Bowman To Scold Him For Winning Primary,"WASHINGTON'Following the progressive challenger's victory over 16-term incumbent Rep. Eliot Engel (D-NY), House Speaker Nancy Pelosi phoned Jamaal Bowman to scold him for winning his primary race, sources confirmed Wednesday. 'I just wanted to call and personally reprimand you for your victory,' said Pelosi, extending her sincerest indignation to the former Bronx middle school educator, who is expected to easily win the general election in his heavily Democratic congressional district. 'I understand there are some mail-in ballots that still need to be counted, but it appears you won big last night and energized a lot of first-time voters and young people we absolutely did not want voting in this primary. So allow me to extend my sincerest fuck-you for everything you've done. Obviously, we're going to be working together soon, so I look forward to crushing you the first chance I get.' Pelosi added that when things became official in November, she would call again to express how frustrated she was to welcome Bowman to Congress."
3,Georgia Secretary Of State Vows To Investigate Why Some Residents Forced To Wait 2 Centuries To Vote,
4,Congress Announces Willingness To Offer Black Lives Matter Protesters Holiday Or Statue,"WASHINGTON'Emphasizing the importance of taking concrete steps to address systemic racism and police brutality in the United States, Congress reportedly announced Monday their willingness to offer Black Lives Matter protesters a holiday or statue. 'We have seen people around this nation calling for dramatic change, and I can assure you that we intend to meet this moment with the support it deserves'a nice memorial, say, or perhaps a national day of remembrance that individual states can decide to declare an official day off work if they want,' said Speaker of the House Nancy Pelosi (D-CA), echoing a bipartisan group of representatives that if these solutions were not acceptable to leaders of the Black Lives Matter movement, Congress was also willing to consider painting a mural. 'Whether it's one fairly prominent statue of a black person and white person holding hands in D.C. or several smaller ones in cities nationwide, we in Congress are committed to acknowledging the validity and importance of the Black Lives Matter movement. We will make sure that your voices are heard in small script on the bottom of federal calendars or in a bronze statue in some D.C. park.' At press time, Congress announced that it was also open to sending all Black Lives Matter movement leaders cupcakes. "
5,Democratic Leaders Announce That They've Learned The Words 'Systemic Racism',"WASHINGTON'Democratic leaders announced Wednesday that they have learned the words 'systemic racism' and that they were very excited to have done so. 'We have been informed of the phrase 'systemic racism,' and, beyond that, we plan to use it in several sentences,' said Minority Leader Chuck Schumer in an impromptu press conference that also included House Speaker Nancy Pelosi and DNC Chair Tom Perez, who all echoed the fact that they have seen these two words next to each other on a sheet of paper given to them by aides, have read that sheet of paper, and will proceed to repeat those words both in conversation amongst themselves and with reporters. 'We understand that it is a phrase, and we will include this phrase in sentences we speak. In fact, you might see us on television using this set of words very soon. All of this is to say that today, we have discovered two new words that we are supposed to use. That's all.' At press time, the Democratic Party had announced a bold new initiative to combat systematic rhotacism in 2020. Here's a list of organizations where you can donate."
6,"She Needs A Bible Now, Fuckwad'Yes, It's For An Epic Clapback!' Yells Panicked Pelosi Aide Into Phone","WASHINGTON'Following reports that Donald Trump sprayed tear gas at protestors and members of the clergy before a photo-op at St. John's Church, a panicked aide to Speaker of the House Nancy Pelosi reportedly picked up the phone Tuesday and yelled 'she needs a Bible now, fuckwad'yes, it's for an epic clapback.' 'Look, I don't care how you get it, but get it now, because the clapback queen needed a photo of her in a pink pantsuit, reading a bible on Twitter, Facebook, and the front page of CNN five fucking minutes ago,' said the hoarse, screaming aide, who then added that if she didn't see a holy text within the next 10 minutes, 'your ass will never work in Washington, D.C. again.' 'Listen, you little bitch, I don't care if it's the middle of a global pandemic, and I don't give a shit if every bookstore is closed'this is the voice of a generation, so you will rob a fucking church if you have to, do you understand? This is going to be a fucking epic-Trump-takedown-iconic-girlpower-slam. Now hurry the fuck up. Before I end you.' At press time, the aide had slammed down the phone only to pick it up 30 seconds later and yell, 'Oh yeah, and refill the Jeni's ice cream in the fridge, or I'll rip off your head and feed it to her fucking dog.' Here's a list of organizations where you can donate."
7,"DNC To Streamline Fundraising By Cutting Out Unnecessary Cost Of Campaigns, Candidates","WASHINGTON'In a letter to top donors explaining how their contributions would now be spent more efficiently than ever, the Democratic National Committee announced plans Tuesday to streamline its fundraising by completely eliminating the unnecessary costs of campaigns and candidates. 'We're confident that once our party is freed from the burden of putting forth nominees and running expensive campaigns, we'll finally be able to focus all our efforts on generating as much revenue as possible,' wrote DNC chairman Tom Perez, adding that he hoped an upcoming series of fundraisers to which the letter's recipients were invited would help pay for even bigger fundraisers down the line. 'So just go online, make your donation, and we'll take it from there. Whether you're able to give $5 a month or cut us a check for the annual maximum of $35,500, we promise to take that money and put it toward making even more money. We're confident that with no candidates or platforms to disagree on, Democrats of every stripe will unite to give us the financial support we've always wanted. Together, we can do this.' At press time, reports confirmed Perez was threatening to disburse all cash on hand to President Trump's reelection campaign if donors failed to reach the DNC's spring fundraising goal."
8,Pros And Cons Of Voting By Mail,"Long-term social isolation plans due to the coronavirus pandemic have shined the spotlight on voting by mail for the remaining primaries and even the November elections, a process that is already used in some states but has its share of critics. The Onion looks at the pros and cons of voting by mail. Furiously research ballot measures at last minute from comfort of your own home Delicious adhesive on envelope Creates nice, tidy piles of mail-in ballots to be conveniently lost somewhere No need to rent tux Potential several-day delay before being let down by outcome Walk to mailbox a real drag Eliminates only plausible excuse for loitering at middle school Candidates still fucking awful Unclear if USPS can handle huge responsibility right in middle of getting dismantled Risks easily facilitating nation's participation in democracy"
9,Biden Campaign Email Trails Off Halfway Through,
